neutral	outlier_pcadapt	outlier_outflanck	outlier_bayescan
AX-578236807			
AX-578157598			
AX-578236809			
AX-578236805			
AX-578131380			
AX-578236806			
AX-578112317			
AX-578191572			
AX-578227630			
AX-578112322			
AX-578227634			
AX-578227629			
AX-578112313			
AX-578183540			
AX-578223731			
AX-578104273			
AX-578184036			
AX-578144762			
AX-578184030			
AX-578104772			
AX-578144765			
AX-578201283			
AX-578201285			
AX-578153133			
AX-578232341			
AX-578161968			
AX-578163418			
AX-578214367			
AX-578163422			
AX-578174564			
AX-578219356			
AX-578140149			
AX-578095286			
AX-578140150			
AX-578219359			
AX-578095290			
AX-578140152			
AX-578174562			
AX-578174563			
AX-578140143			
AX-578202032			
AX-578202033			
AX-578202035			
AX-578235187			
AX-578235188			
AX-578155982			
AX-578152580			
AX-578152578			
AX-578210589			
AX-578172853			
AX-578093571			
AX-578218567			
AX-578098410			
AX-578142418			
AX-578142410			
AX-578142412			
AX-578221620			
AX-578221621			
AX-578179039			
AX-578179042			
AX-578142415			
AX-578099778			
AX-578099779			
AX-578091757			
AX-578217795			
AX-578157017			
AX-578157023			
AX-578209507			
AX-578108635			
AX-578108636			
AX-578108637			
AX-578146671			
AX-578144279			
AX-578144280			
AX-578103844			
AX-578103846			
AX-578148818			
AX-578228027			
AX-578148820			
AX-578192421			
AX-578148811			
AX-578113162			
AX-578228020			
AX-578148813			
AX-578148814			
AX-578148815			
AX-578148817			
AX-578210706			
AX-578236848			
AX-578210699			
AX-578118186			
AX-578118184			
AX-578118185			
AX-578131271			
AX-578165532			
AX-578190741			
AX-578218460			
AX-578093296			
AX-578158761			
AX-578212922			
AX-578092905			
AX-578172183			
AX-578092900			
AX-578139077			
AX-578205154			
AX-578125927			
AX-578205156			
AX-578154960			
AX-578154962			
AX-578188884			
AX-578109625			
AX-578109626			
AX-578109628			
AX-578226328			
AX-578226329			
AX-578222514			
AX-578098870			
AX-578141972			
AX-578221180			
AX-578098875			
AX-578164819			
AX-578085522			
AX-578214973			
AX-578085527			
AX-578214974			
AX-578214977			
AX-578171596			
AX-578138827			
AX-578236157			
AX-578236158			
AX-578130133			
AX-578130138			
AX-578209359			
AX-578156945			
AX-578156946			
AX-578130141			
AX-578130146			
AX-578170896			
AX-578232695			
AX-578202123			
AX-578090010			
AX-578197899			
AX-578118666			
AX-578142675			
AX-578183147			
AX-578144298			
AX-578144299			
AX-578144302			
AX-578144303			
AX-578144304			
AX-578183154			
AX-578144295			
AX-578223504			
AX-578101172			
AX-578222260			
AX-578188601			
AX-578147718			
AX-578226928			
AX-578226929			
AX-578169553			
AX-578137933			
AX-578213978			
AX-578083335			
AX-578162645			
AX-578083341			
AX-578083342			
AX-578196121			
AX-578196122			
AX-578155026			
AX-578155027			
AX-578234240			
AX-578234241			
AX-578234242			
AX-578126089			
AX-578155037			
AX-578234246			
AX-578205317			
AX-578205318			
AX-578155040			
AX-578126093			
AX-578126094			
AX-578205322			
AX-578155025			
AX-578155028			
AX-578155029			
AX-578126084			
AX-578155030			
AX-578112740			
AX-578227822			
AX-578148615			
AX-578191997			
AX-578227826			
AX-578112745			
AX-578112732			
AX-578112736			
AX-578148607			
AX-578148608			
AX-578227819			
AX-578227820			
AX-578086137			
AX-578149807			
AX-578194377			
AX-578115135			
AX-578194380			
AX-578149808			
AX-578149797			
AX-578194368			
AX-578149803			
AX-578139503			
AX-578218712			
AX-578173140			
AX-578139507			
AX-578124447			
AX-578154233			
AX-578233441			
AX-578233443			
AX-578154237			
AX-578203682			
AX-578124455			
AX-578124443			
AX-578203672			
AX-578157012			
AX-578236220			
AX-578138454			
AX-578170738			
AX-578170739			
AX-578128485			
AX-578207691			
AX-578207699			
AX-578230322			
AX-578163079			
AX-578163080			
AX-578135005			
AX-578135006			
AX-578214218			
AX-578214219			
AX-578163077			
AX-578163078			
AX-578119376			
AX-578119379			
AX-578198623			
AX-578119386			
AX-578198611			
AX-578215766			
AX-578166597			
AX-578087307			
AX-578136556			
AX-578136547			
AX-578087305			
AX-578136548			
AX-578215759			
AX-578215760			
AX-578136552			
AX-578215763			
AX-578136555			
AX-578116391			
AX-578229636			
AX-578116392			
AX-578116226			
AX-578167802			
AX-578232334			
AX-578201273			
AX-578232331			
AX-578232332			
AX-578153127			
AX-578166348			
AX-578087056			
AX-578087051			
AX-578209437			
AX-578175582			
AX-578175583			
AX-578096307			
AX-578146158			
AX-578186934			
AX-578107668			
AX-578107670			
AX-578157569			
AX-578149766			
AX-578194285			
AX-578228973			
AX-578165316			
AX-578084081			
AX-578218756			
AX-578139546			
AX-578114502			
AX-578193758			
AX-578193759			
AX-578193760			
AX-578114511			
AX-578193763			
AX-578228729			
AX-578188827			
AX-578226298			
AX-578147091			
AX-578147093			
AX-578221738			
AX-578142531			
AX-578221740			
AX-578142534			
AX-578100074			
AX-578221743			
AX-578100076			
AX-578179350			
AX-578221745			
AX-578179333			
AX-578221737			
AX-578100066			
AX-578179335			
AX-578142533			
AX-578084150			
AX-578084152			
AX-578163458			
AX-578084155			
AX-578143358			
AX-578222566			
AX-578101875			
AX-578211034			
AX-578131823			
AX-578195535			
AX-578195536			
AX-578116301			
AX-578195542			
AX-578116578			
AX-578150503			
AX-578138246			
AX-578170323			
AX-578091042			
AX-578170328			
AX-578091046			
AX-578091047			
AX-578091019			
AX-578170304			
AX-578170307			
AX-578091027			
AX-578170311			
AX-578170312			
AX-578170313			
AX-578170314			
AX-578091033			
AX-578217456			
AX-578138251			
AX-578204540			
AX-578155629			
AX-578127084			
AX-578142116			
AX-578099187			
AX-578099175			
AX-578221320			
AX-578178446			
AX-578221321			
AX-578178447			
AX-578099178			
AX-578142115			
AX-578143141			
AX-578180619			
AX-578180620			
AX-578199520			
AX-578152282			
AX-578152283			
AX-578120282			
AX-578227958			
AX-578227960			
AX-578180668			
AX-578180090			
AX-578180084			
AX-578209164			
AX-578129945			
AX-578209160			
AX-578156849			
AX-578236060			
AX-578236065			
AX-578156856			
AX-578219404			
AX-578095380			
AX-578174649			
AX-578174650			
AX-578095376			
AX-578163321			
AX-578223260			
AX-578223261			
AX-578182655			
AX-578144055			
AX-578223263			
AX-578182658			
AX-578144057			
AX-578223255			
AX-578144049			
AX-578223258			
AX-578145629			
AX-578145632			
AX-578106503			
AX-578224841			
AX-578185767			
AX-578185768			
AX-578106512			
AX-578185757			
AX-578145627			
AX-578224836			
AX-578106499			
AX-578212552			
AX-578222489			
AX-578143284			
AX-578222494			
AX-578143279			
AX-578143280			
AX-578143281			
AX-578180947			
AX-578180948			
AX-578220469			
AX-578141272			
AX-578176813			
AX-578097536			
AX-578220480			
AX-578220482			
AX-578097539			
AX-578141277			
AX-578141278			
AX-578176818			
AX-578097542			
AX-578097543			
AX-578141263			
AX-578176800			
AX-578097525			
AX-578220473			
AX-578220474			
AX-578141268			
AX-578230263			
AX-578151052			
AX-578117771			
AX-578111413			
AX-578147971			
AX-578227189			
AX-578111409			
AX-578227180			
AX-578147973			
AX-578190673			
AX-578190677			
AX-578227184			
AX-578186416			
AX-578225159			
AX-578107151			
AX-578186413			
AX-578186414			
AX-578193391			
AX-578193392			
AX-578193389			
AX-578180883			
AX-578180870			
AX-578101603			
AX-578101604			
AX-578101608			
AX-578143256			
AX-578180878			
AX-578180881			
AX-578222464			
AX-578083281			
AX-578083279			
AX-578179955			
AX-578100688			
AX-578100689			
AX-578179959			
AX-578179962			
AX-578142821			
AX-578142822			
AX-578142823			
AX-578142824			
AX-578222025			
AX-578142818			
AX-578142819			
AX-578142132			
AX-578178466			
AX-578221334			
AX-578193529			
AX-578114283			
AX-578151696			
AX-578151697			
AX-578151698			
AX-578094531			
AX-578173814			
AX-578139836			
AX-578164011			
AX-578135423			
AX-578084717			
AX-578135427			
AX-578152735			
AX-578152731			
AX-578231939			
AX-578200424			
AX-578231941			
AX-578121190			
AX-578096412			
AX-578106526			
AX-578106527			
AX-578185789			
AX-578106529			
AX-578230060			
AX-578117263			
AX-578230063			
AX-578230064			
AX-578150856			
AX-578196511			
AX-578150863			
AX-578123455			
AX-578202684			
AX-578081676			
AX-578160991			
AX-578160993			
AX-578117715			
AX-578154762			
AX-578204803			
AX-578125579			
AX-578204806			
AX-578227673			
AX-578112414			
AX-578191672			
AX-578145681			
AX-578185871			
AX-578106612			
AX-578185874			
AX-578108332			
AX-578142001			
AX-578221209			
AX-578178200			
AX-578178201			
AX-578178190			
AX-578178192			
AX-578141999			
AX-578142000			
AX-578178198			
AX-578223931			
AX-578144724			
AX-578121810			
AX-578166655			
AX-578136576			
AX-578175540			
AX-578107056			
AX-578186319			
AX-578155424			
AX-578181705			
AX-578143628			
AX-578192266			
AX-578192268			
AX-578113016			
AX-578218170			
AX-578138970			
AX-578171897			
AX-578232879			
AX-578202501			
AX-578232876			
AX-578217701			
AX-578217702			
AX-578217704			
AX-578170826			
AX-578170830			
AX-578091549			
AX-578147175			
AX-578188992			
AX-578147176			
AX-578231842			
AX-578152636			
AX-578152639			
AX-578121020			
AX-578083518			
AX-578214062			
AX-578134848			
AX-578194204			
AX-578114955			
AX-578114957			
AX-578199712			
AX-578152360			
AX-578152361			
AX-578199716			
AX-578163143			
AX-578135025			
AX-578214236			
AX-578083823			
AX-578083831			
AX-578163140			
AX-578083834			
AX-578214234			
AX-578163144			
AX-578085039			
AX-578151226			
AX-578197370			
AX-578118133			
AX-578230437			
AX-578197373			
AX-578197376			
AX-578140597			
AX-578122678			
AX-578201912			
AX-578122682			
AX-578201917			
AX-578232610			
AX-578153405			
AX-578201925			
AX-578171428			
AX-578171429			
AX-578092150			
AX-578138750			
AX-578128048			
AX-578128041			
AX-578214551			
AX-578084496			
AX-578084497			
AX-578163800			
AX-578084501			
AX-578084489			
AX-578084490			
AX-578084492			
AX-578084495			
AX-578216272			
AX-578088354			
AX-578088357			
AX-578167631			
AX-578137058			
AX-578137060			
AX-578216269			
AX-578167636			
AX-578088347			
AX-578121966			
AX-578121967			
AX-578121968			
AX-578201200			
AX-578232302			
AX-578121965			
AX-578168478			
AX-578216644			
AX-578089187			
AX-578216647			
AX-578137440			
AX-578137444			
AX-578216653			
AX-578196300			
AX-578150751			
AX-578086715			
AX-578205548			
AX-578143043			
AX-578143042			
AX-578180423			
AX-578180424			
AX-578180417			
AX-578143036			
AX-578143037			
AX-578143038			
AX-578180420			
AX-578143040			
AX-578222248			
AX-578188372			
AX-578226071			
AX-578109119			
AX-578109120			
AX-578126318			
AX-578155170			
AX-578195437			
AX-578116194			
AX-578195433			
AX-578165210			
AX-578085911			
AX-578125823			
AX-578154896			
AX-578196534			
AX-578117297			
AX-578196538			
AX-578196539			
AX-578117301			
AX-578230085			
AX-578230088			
AX-578230079			
AX-578181312			
AX-578143429			
AX-578174006			
AX-578094724			
AX-578094727			
AX-578197480			
AX-578197484			
AX-578156292			
AX-578208058			
AX-578235504			
AX-578156296			
AX-578224987			
AX-578145777			
AX-578113963			
AX-578149245			
AX-578113967			
AX-578149238			
AX-578149239			
AX-578149240			
AX-578149243			
AX-578126739			
AX-578230553			
AX-578197606			
AX-578151342			
AX-578230551			
AX-578110327			
AX-578189593			
AX-578189579			
AX-578147476			
AX-578226685			
AX-578110328			
AX-578189586			
AX-578226687			
AX-578189589			
AX-578189590			
AX-578163952			
AX-578144307			
AX-578103896			
AX-578183161			
AX-578173950			
AX-578173951			
AX-578229453			
AX-578229456			
AX-578116055			
AX-578116057			
AX-578195298			
AX-578150243			
AX-578083288			
AX-578213948			
AX-578189107			
AX-578189108			
AX-578109852			
AX-578081658			
AX-578160972			
AX-578213193			
AX-578146736			
AX-578225946			
AX-578101145			
AX-578163122			
AX-578108093			
AX-578146385			
AX-578108091			
AX-578092690			
AX-578215844			
AX-578215846			
AX-578087467			
AX-578166759			
AX-578136638			
AX-578087470			
AX-578087471			
AX-578087472			
AX-578215851			
AX-578215852			
AX-578166764			
AX-578215855			
AX-578136647			
AX-578166767			
AX-578166768			
AX-578144261			
AX-578144265			
AX-578168766			
AX-578089480			
AX-578089481			
AX-578137577			
AX-578102143			
AX-578181414			
AX-578181415			
AX-578143484			
AX-578181401			
AX-578102139			
AX-578143486			
AX-578181406			
AX-578181408			
AX-578231251			
AX-578152045			
AX-578198998			
AX-578231250			
AX-578180592			
AX-578089310			
AX-578089311			
AX-578105796			
AX-578145232			
AX-578105798			
AX-578105802			
AX-578194712			
AX-578149970			
AX-578229180			
AX-578149974			
AX-578115470			
AX-578117994			
AX-578117997			
AX-578197241			
AX-578151274			
AX-578118230			
AX-578230486			
AX-578179994			
AX-578179995			
AX-578100727			
AX-578100728			
AX-578100729			
AX-578179999			
AX-578100732			
AX-578100717			
AX-578151453			
AX-578118578			
AX-578152068			
AX-578119821			
AX-578231276			
AX-578199064			
AX-578148047			
AX-578227256			
AX-578167710			
AX-578090610			
AX-578217340			
AX-578169920			
AX-578169898			
AX-578169899			
AX-578090616			
AX-578169904			
AX-578090622			
AX-578090625			
AX-578169912			
AX-578110700			
AX-578110701			
AX-578110702			
AX-578161517			
AX-578134237			
AX-578213448			
AX-578165340			
AX-578165341			
AX-578131094			
AX-578222082			
AX-578180108			
AX-578142873			
AX-578100827			
AX-578100832			
AX-578180106			
AX-578231797			
AX-578160735			
AX-578213083			
AX-578133872			
AX-578160733			
AX-578191561			
AX-578148412			
AX-578227623			
AX-578148417			
AX-578186744			
AX-578225307			
AX-578186743			
AX-578229414			
AX-578195186			
AX-578150206			
AX-578129439			
AX-578208658			
AX-578129441			
AX-578143675			
AX-578222884			
AX-578181818			
AX-578222887			
AX-578102549			
AX-578102551			
AX-578223523			
AX-578183186			
AX-578137767			
AX-578137769			
AX-578216979			
AX-578216980			
AX-578137774			
AX-578137775			
AX-578137776			
AX-578192775			
AX-578119400			
AX-578119404			
AX-578151871			
AX-578183577			
AX-578223748			
AX-578183581			
AX-578104319			
AX-578183584			
AX-578104322			
AX-578147381			
AX-578147382			
AX-578189421			
AX-578147383			
AX-578189422			
AX-578147384			
AX-578147386			
AX-578189424			
AX-578147389			
AX-578226598			
AX-578189425			
AX-578171310			
AX-578092032			
AX-578171307			
AX-578199208			
AX-578231334			
AX-578154422			
AX-578154423			
AX-578233634			
AX-578233627			
AX-578154421			
AX-578204077			
AX-578204079			
AX-578153175			
AX-578232382			
AX-578153180			
AX-578201377			
AX-578232389			
AX-578201373			
AX-578153174			
AX-578228108			
AX-578228110			
AX-578113341			
AX-578192593			
AX-578199955			
AX-578154395			
AX-578124792			
AX-578124793			
AX-578204021			
AX-578204022			
AX-578198171			
AX-578230856			
AX-578118934			
AX-578126515			
AX-578205740			
AX-578126517			
AX-578205742			
AX-578110924			
AX-578150437			
AX-578213641			
AX-578148310			
AX-578093529			
AX-578093526			
AX-578218555			
AX-578172811			
AX-578172818			
AX-578093535			
AX-578218556			
AX-578218558			
AX-578172825			
AX-578103814			
AX-578204415			
AX-578233758			
AX-578154551			
AX-578087263			
AX-578230403			
AX-578230404			
AX-578151196			
AX-578151197			
AX-578151199			
AX-578230410			
AX-578230411			
AX-578116731			
AX-578229800			
AX-578195976			
AX-578150592			
AX-578229802			
AX-578116735			
AX-578150594			
AX-578150595			
AX-578229797			
AX-578150589			
AX-578229799			
AX-578208764			
AX-578208767			
AX-578235869			
AX-578208757			
AX-578208760			
AX-578129543			
AX-578118553			
AX-578151446			
AX-578230655			
AX-578230656			
AX-578151449			
AX-578197788			
AX-578197790			
AX-578118551			
AX-578151443			
AX-578151444			
AX-578197797			
AX-578118559			
AX-578174670			
AX-578095391			
AX-578219409			
AX-578219410			
AX-578095388			
AX-578140203			
AX-578140204			
AX-578174674			
AX-578208091			
AX-578208092			
AX-578233838			
AX-578125372			
AX-578154628			
AX-578153025			
AX-578232233			
AX-578153028			
AX-578218213			
AX-578092699			
AX-578109391			
AX-578188644			
AX-578226205			
AX-578188645			
AX-578188646			
AX-578226206			
AX-578206199			
AX-578148870			
AX-578192564			
AX-578148868			
AX-578081438			
AX-578102394			
AX-578181661			
AX-578102396			
AX-578233418			
AX-578124384			
AX-578225238			
AX-578107352			
AX-578107353			
AX-578107354			
AX-578119361			
AX-578198604			
AX-578155176			
AX-578126339			
AX-578205564			
AX-578152379			
AX-578231587			
AX-578231588			
AX-578152382			
AX-578199766			
AX-578231590			
AX-578231591			
AX-578199768			
AX-578152385			
AX-578231593			
AX-578120533			
AX-578146621			
AX-578187785			
AX-578187786			
AX-578225830			
AX-578225832			
AX-578187790			
AX-578170780			
AX-578207883			
AX-578180778			
AX-578203377			
AX-578154122			
AX-578203382			
AX-578191035			
AX-578191036			
AX-578227357			
AX-578111775			
AX-578213271			
AX-578213266			
AX-578081787			
AX-578161100			
AX-578081789			
AX-578081793			
AX-578081795			
AX-578134059			
AX-578122013			
AX-578112842			
AX-578184280			
AX-578184285			
AX-578105024			
AX-578144879			
AX-578088289			
AX-578088290			
AX-578216240			
AX-578216241			
AX-578146250			
AX-578187067			
AX-578107811			
AX-578187071			
AX-578146241			
AX-578187072			
AX-578146242			
AX-578225454			
AX-578107818			
AX-578146247			
AX-578107824			
AX-578187098			
AX-578187100			
AX-578187101			
AX-578225461			
AX-578221212			
AX-578142006			
AX-578121621			
AX-578181668			
AX-578181669			
AX-578222810			
AX-578181670			
AX-578222807			
AX-578181663			
AX-578216017			
AX-578167243			
AX-578136809			
AX-578087948			
AX-578167241			
AX-578176062			
AX-578096786			
AX-578176054			
AX-578176056			
AX-578176057			
AX-578176058			
AX-578176060			
AX-578220075			
AX-578140868			
AX-578140869			
AX-578196672			
AX-578232459			
AX-578232462			
AX-578122324			
AX-578201556			
AX-578122327			
AX-578153257			
AX-578201559			
AX-578122329			
AX-578232464			
AX-578122330			
AX-578201563			
AX-578122333			
AX-578201566			
AX-578122336			
AX-578201568			
AX-578153260			
AX-578122342			
AX-578232467			
AX-578122318			
AX-578232460			
AX-578188568			
AX-578188563			
AX-578193811			
AX-578149538			
AX-578228745			
AX-578193805			
AX-578193806			
AX-578114557			
AX-578114564			
AX-578114565			
AX-578213099			
AX-578233154			
AX-578153948			
AX-578203055			
AX-578123822			
AX-578183369			
AX-578183370			
AX-578232124			
AX-578121610			
AX-578232128			
AX-578200243			
AX-578217094			
AX-578172061			
AX-578172062			
AX-578092784			
AX-578092785			
AX-578172070			
AX-578172073			
AX-578218237			
AX-578170227			
AX-578217427			
AX-578156836			
AX-578129918			
AX-578209141			
AX-578148228			
AX-578111899			
AX-578185401			
AX-578185403			
AX-578106143			
AX-578185406			
AX-578131556			
AX-578202324			
AX-578123095			
AX-578123096			
AX-578153596			
AX-578232803			
AX-578123093			
AX-578123097			
AX-578215642			
AX-578087721			
AX-578167010			
AX-578087720			
AX-578141953			
AX-578098821			
AX-578178093			
AX-578178095			
AX-578178096			
AX-578098827			
AX-578098828			
AX-578141949			
AX-578141951			
AX-578141952			
AX-578117495			
AX-578150958			
AX-578196732			
AX-578189912			
AX-578190075			
AX-578226922			
AX-578229139			
AX-578194586			
AX-578140809			
AX-578096660			
AX-578175939			
AX-578131024			
AX-578157437			
AX-578141706			
AX-578141707			
AX-578220916			
AX-578177647			
AX-578141711			
AX-578141712			
AX-578098376			
AX-578098377			
AX-578141713			
AX-578098367			
AX-578092505			
AX-578171795			
AX-578199430			
AX-578237383			
AX-578211752			
AX-578237385			
AX-578237366			
AX-578237368			
AX-578158159			
AX-578158163			
AX-578158166			
AX-578158167			
AX-578158168			
AX-578158170			
AX-578220155			
AX-578140948			
AX-578140949			
AX-578220158			
AX-578140938			
AX-578140939			
AX-578140940			
AX-578096937			
AX-578176214			
AX-578220151			
AX-578220152			
AX-578140945			
AX-578196146			
AX-578162418			
AX-578162419			
AX-578206614			
AX-578206616			
AX-578127403			
AX-578127405			
AX-578223327			
AX-578223325			
AX-578182776			
AX-578192526			
AX-578129834			
AX-578129835			
AX-578236015			
AX-578209056			
AX-578236017			
AX-578129838			
AX-578182160			
AX-578143833			
AX-578182155			
AX-578102893			
AX-578235928			
AX-578083201			
AX-578083202			
AX-578163881			
AX-578163882			
AX-578132063			
AX-578157915			
AX-578138525			
AX-578091598			
AX-578135787			
AX-578164877			
AX-578190963			
AX-578190965			
AX-578111712			
AX-578190967			
AX-578204563			
AX-578204564			
AX-578204263			
AX-578204267			
AX-578204272			
AX-578157481			
AX-578157484			
AX-578206525			
AX-578125989			
AX-578205218			
AX-578154983			
AX-578092936			
AX-578206089			
AX-578155416			
AX-578155417			
AX-578155418			
AX-578126868			
AX-578234618			
AX-578178578			
AX-578099310			
AX-578178580			
AX-578220358			
AX-578220367			
AX-578176586			
AX-578176587			
AX-578097309			
AX-578176590			
AX-578220357			
AX-578220360			
AX-578141155			
AX-578165830			
AX-578165834			
AX-578156394			
AX-578235607			
AX-578235609			
AX-578156400			
AX-578156401			
AX-578129016			
AX-578208235			
AX-578208236			
AX-578129020			
AX-578098310			
AX-578098313			
AX-578141672			
AX-578220880			
AX-578220882			
AX-578098317			
AX-578177592			
AX-578177593			
AX-578177594			
AX-578220886			
AX-578220887			
AX-578188515			
AX-578146930			
AX-578188509			
AX-578226132			
AX-578146925			
AX-578226134			
AX-578109254			
AX-578146927			
AX-578188514			
AX-578147962			
AX-578147963			
AX-578147965			
AX-578111393			
AX-578190648			
AX-578111396			
AX-578111399			
AX-578111401			
AX-578227176			
AX-578111402			
AX-578138765			
AX-578092170			
AX-578138768			
AX-578171458			
AX-578092177			
AX-578123035			
AX-578153558			
AX-578175346			
AX-578124049			
AX-578233286			
AX-578120029			
AX-578229776			
AX-578150569			
AX-578150570			
AX-578195946			
AX-578102110			
AX-578143470			
AX-578162995			
AX-578162997			
AX-578134946			
AX-578083691			
AX-578134945			
AX-578167727			
AX-578165288			
AX-578085991			
AX-578215203			
AX-578215204			
AX-578085988			
AX-578212228			
AX-578158408			
AX-578109158			
AX-578226086			
AX-578109159			
AX-578188418			
AX-578226087			
AX-578188419			
AX-578223137			
AX-578232455			
AX-578232456			
AX-578203038			
AX-578153944			
AX-578156680			
AX-578156676			
AX-578129591			
AX-578129594			
AX-578129581			
AX-578129586			
AX-578119281			
AX-578198524			
AX-578119286			
AX-578151825			
AX-578151826			
AX-578123948			
AX-578233221			
AX-578214660			
AX-578214662			
AX-578177365			
AX-578098093			
AX-578141555			
AX-578177361			
AX-578098088			
AX-578141556			
AX-578098090			
AX-578237692			
AX-578237696			
AX-578158487			
AX-578212404			
AX-578133195			
AX-578212409			
AX-578237699			
AX-578212410			
AX-578237700			
AX-578228910			
AX-578228911			
AX-578149704			
AX-578194176			
AX-578228908			
AX-578149701			
AX-578200881			
AX-578121651			
AX-578152936			
AX-578121639			
AX-578152937			
AX-578121641			
AX-578232146			
AX-578200877			
AX-578213706			
AX-578134496			
AX-578102315			
AX-578102317			
AX-578143565			
AX-578102311			
AX-578145386			
AX-578145383			
AX-578185296			
AX-578145384			
AX-578106029			
AX-578185293			
AX-578215224			
AX-578086055			
AX-578136013			
AX-578136014			
AX-578226117			
AX-578109233			
AX-578188491			
AX-578151183			
AX-578197306			
AX-578230390			
AX-578151180			
AX-578151182			
AX-578230393			
AX-578197305			
AX-578197299			
AX-578118062			
AX-578140066			
AX-578199225			
AX-578199236			
AX-578119975			
AX-578231340			
AX-578119979			
AX-578152134			
AX-578199221			
AX-578119984			
AX-578119988			
AX-578119993			
AX-578119994			
AX-578152135			
AX-578231343			
AX-578152137			
AX-578231345			
AX-578152139			
AX-578081260			
AX-578160575			
AX-578160578			
AX-578137126			
AX-578216342			
AX-578137133			
AX-578216343			
AX-578088508			
AX-578167792			
AX-578216335			
AX-578137128			
AX-578137130			
AX-578167796			
AX-578088507			
AX-578216339			
AX-578089002			
AX-578102390			
AX-578222801			
AX-578222803			
AX-578222804			
AX-578102385			
AX-578151694			
AX-578198278			
AX-578198279			
AX-578151693			
AX-578189846			
AX-578204823			
AX-578204824			
AX-578154788			
AX-578125603			
AX-578233989			
AX-578233992			
AX-578233993			
AX-578226231			
AX-578147017			
AX-578109439			
AX-578226226			
AX-578147020			
AX-578147021			
AX-578188700			
AX-578208733			
AX-578200614			
AX-578200615			
AX-578121382			
AX-578232023			
AX-578232024			
AX-578200618			
AX-578232025			
AX-578152819			
AX-578103151			
AX-578103152			
AX-578109144			
AX-578146871			
AX-578120507			
AX-578121717			
AX-578212331			
AX-578158452			
AX-578158455			
AX-578212335			
AX-578158449			
AX-578133108			
AX-578212323			
AX-578133114			
AX-578158451			
AX-578158453			
AX-578212330			
AX-578195711			
AX-578136244			
AX-578118779			
AX-578198023			
AX-578230771			
AX-578230762			
AX-578151555			
AX-578198021			
AX-578121794			
AX-578081803			
AX-578163257			
AX-578135570			
AX-578085036			
AX-578085035			
AX-578214780			
AX-578135572			
AX-578167177			
AX-578095505			
AX-578174786			
AX-578096521			
AX-578096523			
AX-578140724			
AX-578226411			
AX-578109822			
AX-578189075			
AX-578109819			
AX-578142900			
AX-578123398			
AX-578123399			
AX-578092592			
AX-578211371			
AX-578140888			
AX-578176122			
AX-578176123			
AX-578220099			
AX-578220100			
AX-578129560			
AX-578208781			
AX-578129563			
AX-578148571			
AX-578112641			
AX-578191897			
AX-578196624			
AX-578117385			
AX-578150915			
AX-578150918			
AX-578150919			
AX-578117388			
AX-578117389			
AX-578176028			
AX-578176029			
AX-578170291			
AX-578201664			
AX-578232508			
AX-578153303			
AX-578201658			
AX-578208198			
AX-578187277			
AX-578108027			
AX-578187275			
AX-578225554			
AX-578146348			
AX-578187281			
AX-578108023			
AX-578187285			
AX-578108026			
AX-578209775			
AX-578130546			
AX-578157201			
AX-578173566			
AX-578139735			
AX-578139736			
AX-578139726			
AX-578218935			
AX-578139729			
AX-578094267			
AX-578139730			
AX-578173552			
AX-578094275			
AX-578218939			
AX-578218940			
AX-578218941			
AX-578173558			
AX-578094277			
AX-578173560			
AX-578094281			
AX-578228544			
AX-578196000			
AX-578139433			
AX-578139434			
AX-578173019			
AX-578093739			
AX-578151077			
AX-578151079			
AX-578193032			
AX-578228348			
AX-578113789			
AX-578116997			
AX-578117002			
AX-578195041			
AX-578195042			
AX-578230395			
AX-578216744			
AX-578168675			
AX-578089389			
AX-578233257			
AX-578203223			
AX-578233259			
AX-578199119			
AX-578152271			
AX-578120267			
AX-578231470			
AX-578199497			
AX-578120262			
AX-578231475			
AX-578199503			
AX-578152269			
AX-578152270			
AX-578107643			
AX-578225352			
AX-578186903			
AX-578128104			
AX-578228748			
AX-578114570			
AX-578228751			
AX-578193820			
AX-578228753			
AX-578228754			
AX-578114573			
AX-578228756			
AX-578228757			
AX-578163052			
AX-578214202			
AX-578083746			
AX-578083744			
AX-578214201			
AX-578232137			
AX-578121633			
AX-578208388			
AX-578147884			
AX-578227088			
AX-578190484			
AX-578147881			
AX-578111233			
AX-578098942			
AX-578092349			
AX-578092354			
AX-578138846			
AX-578138847			
AX-578138849			
AX-578138850			
AX-578204447			
AX-578125231			
AX-578109771			
AX-578154720			
AX-578204760			
AX-578125536			
AX-578174204			
AX-578092566			
AX-578182900			
AX-578223373			
AX-578103638			
AX-578192161			
AX-578148682			
AX-578148683			
AX-578112900			
AX-578227885			
AX-578148678			
AX-578107417			
AX-578225273			
AX-578186678			
AX-578121993			
AX-578201230			
AX-578231600			
AX-578152394			
AX-578231602			
AX-578120548			
AX-578152396			
AX-578152397			
AX-578199785			
AX-578120550			
AX-578224969			
AX-578186048			
AX-578106789			
AX-578197969			
AX-578197971			
AX-578197973			
AX-578118736			
AX-578118726			
AX-578151527			
AX-578230736			
AX-578118729			
AX-578108283			
AX-578146484			
AX-578108285			
AX-578108282			
AX-578088323			
AX-578167613			
AX-578137055			
AX-578140595			
AX-578175535			
AX-578175528			
AX-578140594			
AX-578096254			
AX-578190384			
AX-578111131			
AX-578163987			
AX-578163986			
AX-578135412			
AX-578135413			
AX-578093523			
AX-578093524			
AX-578172443			
